Nome,Età,Nazionalità,Tiri,Goal,Assist,Fuorigioco,Palle recuperate,Tackle vinti,Partite Giocate,Minuti,Squadra,Lega,Ruolo
Pierre-Emerick Aubameyang,32.0,GAB,3.17,0.92,0.08,0.58,2.58,0.17,17,1082,Barcelona,La Liga,FW
Pierre-Emerick Aubameyang,32.0,GAB,2.87,0.35,0.09,0.87,3.3,0.61,14,1037,Arsenal,Premier League,FW
Tommaso Augello,27.0,ITA,0.26,0.04,0.04,0.04,8.31,0.9,36,2395,Sampdoria,Serie A,DF
Jean-KÃ©vin Augustin,24.0,FRA,2.22,0.0,0.0,0.0,1.11,0.0,7,84,Nantes,Ligue 1,FW
Ludwig Augustinsson,28.0,SWE,0.45,0.0,0.11,0.0,7.05,1.48,19,793,Sevilla,La Liga,DF
Serge Aurier,29.0,CIV,0.98,0.0,0.09,0.09,10.1,1.25,19,1010,Villarreal,La Liga,DF
Ezequiel Ãvila,28.0,ARG,2.88,0.29,0.05,0.63,5.48,0.43,36,1870,Osasuna,La Liga,FW
Taiwo Awoniyi,24.0,NGA,2.73,0.62,0.04,0.87,4.5,0.37,31,2174,Union Berlin,Bundesliga,FW
Ramzi Aya,31.0,ITA,0.67,0.0,0.0,0.0,4.67,0.67,2,135,Salernitana,Serie A,DF
Jordan Ayew,30.0,GHA,1.56,0.13,0.13,0.04,6.96,1.52,31,2019,Crystal Palace,Premier League,FW
Kaan Ayhan,27.0,TUR,0.33,0.07,0.0,0.07,8.2,0.6,23,1354,Sassuolo,Serie A,DF
Luke Ayling,30.0,ENG,0.75,0.08,0.08,0.08,10.4,1.79,26,2272,Leeds United,Premier League,DF
Karim Azamoum,32.0,FRA,0.7,0.0,0.0,0.0,4.88,1.4,7,388,Troyes,Ligue 1,DF
Sardar Azmoun,27.0,IRN,2.5,0.25,0.25,0.0,5.25,0.25,9,359,Leverkusen,Bundesliga,FW
CÃ©sar Azpilicueta,32.0,ESP,0.57,0.04,0.09,0.09,7.35,1.35,27,2070,Chelsea,Premier League,DF
Iddrisu Baba,26.0,GHA,1.02,0.09,0.0,0.0,13.0,2.37,26,1934,Mallorca,La Liga,MF
Carlos Bacca,35.0,COL,1.58,0.0,0.18,0.88,2.81,0.53,17,513,Granada,La Liga,FW
LoÃ¯c Bade,22.0,FRA,0.64,0.0,0.09,0.0,7.8,0.28,14,985,Rennes,Ligue 1,DF
Milan Badelj,33.0,CRO,0.7,0.03,0.0,0.0,12.6,1.39,34,2844,Genoa,Serie A,MF
BenoÃ®t Badiashile,21.0,FRA,0.69,0.05,0.0,0.1,11.7,1.37,24,1838,Monaco,Ligue 1,DF
Youssouph Badji,20.0,SEN,1.33,0.0,0.0,0.67,3.33,0.0,9,135,Brest,Ligue 1,FW
Miguel Baeza,22.0,ESP,0.0,0.0,0.0,0.0,0.0,0.0,1,2,Celta Vigo,La Liga,DF
Issa Bah,19.0,LUX,0.0,0.0,0.0,0.0,40.0,0.0,1,9,Venezia,Serie A,FW
StÃ©phane Bahoken,30.0,CMR,1.97,0.25,0.08,0.33,3.28,0.66,29,1099,Angers,Ligue 1,FW
Leon Bailey,24.0,JAM,2.47,0.12,0.24,0.35,5.06,1.41,18,761,Aston Villa,Premier League,FW
Eric Bailly,28.0,CIV,0.0,0.0,0.0,0.0,9.58,1.25,4,217,Manchester Utd,Premier League,DF
